"","X","Title","year","rated","released","runtime","genre","director","awards","imdbrating","boxOffice","key"
"47",51,"A Night in Casablanca","1946","PASSED","12 Oct 1946","85 min","Comedy","Archie Mayo","N/A","7.1","N/A","A Night in Casablanca (1946)"
"48",52,"Barb Wire","1996","R","03 May 1996","98 min","Action, Sci-Fi","David Hogan","1 win & 7 nominations.","3.2","N/A","Barb Wire (1996)"
"49",53,"The Magnificent Seven","1960","NOT RATED","23 Nov 1960","128 min","Action, Adventure, Western","John Sturges","Nominated for 1 Oscar. Another 1 win & 5 nominations.","7.8","N/A","The Magnificent Seven (1960)"
"50",54,"Battle Beyond the Stars","1980","PG","13 Nov 1980","104 min","Action, Adventure, Sci-Fi","Jimmy T. Murakami, Roger Corman","1 win & 4 nominations.","5.5","N/A","Battle Beyond the Stars (1980)"
"51",55,"The Magnificent Seven","2016","PG-13","23 Sep 2016","132 min","Action, Adventure, Western","Antoine Fuqua","3 wins & 12 nominations.","6.9","$93,381,044","The Magnificent Seven (2016)"
"52",56,"The Battle of the Sexes","1928","PASSED","N/A","88 min","Comedy","D.W. Griffith","N/A","6.7","N/A","The Battle of the Sexes (1928)"
"53",57,"The Beat That My Heart Skipped","2005","UNRATED","16 Mar 2005","108 min","Crime, Drama, Music","Jacques Audiard","Won 1 BAFTA Film Award. Another 20 wins & 13 nominations.","7.3","$799,497","The Beat That My Heart Skipped (2005)"
"54",58,"The Last Remake of Beau Geste","1977","PG","16 Dec 1977","85 min","Adventure, Comedy, War","Marty Feldman","N/A","6.1","N/A","The Last Remake of Beau Geste (1977)"
"55",59,"Beau Geste","1966","N/A","07 Sep 1966","103 min","Drama, War, Action","Douglas Heyes","N/A","6.1","N/A","Beau Geste (1966)"
"56",60,"Beau Geste","1939","PASSED","24 Jul 1939","112 min","Action, Adventure, Drama","William A. Wellman","N/A","7.8","N/A","Beau Geste (1939)"
"57",61,"Beauty and the Beast","2017","PG","17 Mar 2017","129 min","Family, Fantasy, Musical","Bill Condon","7 wins & 15 nominations.","7.3","$503,974,884","Beauty and the Beast (2017)"
"58",62,"Bedazzled","2000","PG-13","20 Oct 2000","93 min","Comedy, Fantasy","Harold Ramis","1 win & 3 nominations.","6.0","N/A","Bedazzled (2000)"
"59",63,"The Beguiled","2017","R","30 Jun 2017","93 min","Drama, Thriller","Sofia Coppola","4 wins & 18 nominations.","6.4","$10,542,504","The Beguiled (2017)"
"60",64,"Being Julia","2004","R","18 Feb 2005","104 min","Comedy, Drama, Romance","István Szabó","Nominated for 1 Oscar. Another 8 wins & 18 nominations.","7.0","$7,652,647","Being Julia (2004)"
"61",65,"Ben-Hur","1959","G","29 Jan 1960","212 min","Adventure, Drama, History","William Wyler","Won 11 Oscars. Another 16 wins & 13 nominations.","8.1","N/A","Ben-Hur (1959)"
"62",66,"Ben-Hur","2016","PG-13","19 Aug 2016","123 min","Action, Adventure, Drama","Timur Bekmambetov","2 wins.","5.7","$26,384,681","Ben-Hur (2016)"
"63",68,"Between Two Worlds","1944","APPROVED","20 May 1944","112 min","Mystery, Drama, Fantasy","Edward A. Blatt","N/A","7.3","N/A","Between Two Worlds (1944)"
"64",69,"Frutto acerbo","1934","N/A","N/A","N/A","Romance","Carlo Ludovico Bragaglia","N/A","N/A","N/A","Frutto acerbo (1934)"
"65",70,"Between Us Girls","1942","N/A","04 Sep 1942","85 min","Comedy","Henry Koster","N/A","6.8","N/A","Between Us Girls (1942)"
"66",71,"Beyond a Reasonable Doubt","2009","PG-13","10 Jul 2009","106 min","Crime, Drama, Mystery","Peter Hyams","N/A","5.9","N/A","Beyond a Reasonable Doubt (2009)"
"67",72,"Broken Lance","1954","APPROVED","25 Sep 1954","96 min","Adventure, Western","Edward Dmytryk","Won 1 Oscar. Another 1 win & 1 nomination.","7.0","N/A","Broken Lance (1954)"
"68",73,"The Big Show","1961","APPROVED","14 Jul 1961","113 min","Drama","James B. Clark","N/A","5.7","N/A","The Big Show (1961)"
"69",74,"The Big Stampede","1932","PASSED","08 Oct 1932","54 min","Western","Tenny Wright","N/A","5.8","N/A","The Big Stampede (1932)"
"70",75,"Mr. Smith Goes to Washington","1939","NOT RATED","19 Oct 1939","129 min","Comedy, Drama","Frank Capra","Won 1 Oscar. Another 4 wins & 12 nominations.","8.2","N/A","Mr. Smith Goes to Washington (1939)"
"71",76,"Billy Jack Goes to Washington","1977","NOT RATED","16 Apr 1977","155 min","Drama, Thriller","Tom Laughlin","N/A","4.5","N/A","Billy Jack Goes to Washington (1977)"
"72",77,"The Birdcage","1996","R","08 Mar 1996","117 min","Comedy","Mike Nichols","Nominated for 1 Oscar. Another 6 wins & 25 nominations.","7.0","N/A","The Birdcage (1996)"
"73",78,"Black Caesar","1973","R","07 Feb 1973","87 min","Action, Crime, Drama","Larry Cohen","N/A","6.5","N/A","Black Caesar (1973)"
"74",79,"Black Christmas","2006","R","25 Dec 2006","84 min","Horror","Glen Morgan","1 nomination.","4.6","N/A","Black Christmas (2006)"
"75",80,"Blame It on Rio","1984","R","17 Feb 1984","100 min","Comedy, Romance","Stanley Donen","1 nomination.","5.7","N/A","Blame It on Rio (1984)"
"76",81,"The Blob","1988","R","05 Aug 1988","95 min","Horror, Sci-Fi, Thriller","Chuck Russell","6 nominations.","6.4","N/A","The Blob (1988)"
"77",82,"Blood Diner","1987","UNRATED","10 Jul 1987","88 min","Comedy, Horror","Jackie Kong","N/A","5.2","N/A","Blood Diner (1987)"
"78",83,"The Blue Angel","1959","N/A","11 Oct 1959","107 min","Drama","Edward Dmytryk","N/A","6.2","N/A","The Blue Angel (1959)"
"79",84,"The Blue Bird","1940","APPROVED","15 Jan 1940","88 min","Drama, Family, Fantasy","Walter Lang","N/A","6.5","N/A","The Blue Bird (1940)"
"80",85,"The Blue Bird","1976","G","05 Apr 1976","99 min","Adventure, Drama, Family","George Cukor","1 nomination.","5.4","N/A","The Blue Bird (1976)"
"81",86,"Bored of Education","1936","APPROVED","20 Aug 1936","10 min","Comedy, Family, Short","Gordon Douglas","N/A","7.3","N/A","Bored of Education (1936)"
"82",87,"Born Yesterday","1993","PG","26 Mar 1993","100 min","Comedy, Romance","Luis Mandoki","1 nomination.","5.1","N/A","Born Yesterday (1993)"
"83",88,"Boudu","2005","N/A","09 Mar 2005","104 min","Comedy","Gérard Jugnot","1 nomination.","5.4","N/A","Boudu (2005)"
"84",89,"The Boy Cried Murder","1966","N/A","11 Nov 1966","86 min","Crime, Drama","George P. Breakston","N/A","6.5","N/A","The Boy Cried Murder (1966)"
"85",90,"Breathless","1983","R","13 May 1983","100 min","Action, Drama, Romance","Jim McBride","N/A","5.8","N/A","Breathless (1983)"
"86",91,"Three on a Spree","1961","N/A","01 Nov 1961","83 min","Comedy","Sidney J. Furie","N/A","6.0","N/A","Three on a Spree (1961)"
"87",92,"Brewster's Millions","1985","PG","22 May 1985","102 min","Comedy","Walter Hill","N/A","6.5","N/A","Brewster's Millions (1985)"
"88",93,"Bride Wars","2015","N/A","20 Aug 2015","90 min","Comedy","Tony Chan","N/A","4.4","N/A","Bride Wars (2015)"
"89",94,"Brian's Song","2001","N/A","02 Dec 2001","88 min","Drama, Sport","John Gray","N/A","6.8","N/A","Brian's Song (2001)"
"90",95,"Brothers","2009","R","04 Dec 2009","105 min","Drama, Thriller, War","Jim Sheridan","Nominated for 2 Golden Globes. Another 4 wins & 13 nominations.","7.1","$28,501,651","Brothers (2009)"
"91",96,"A Bucket of Blood","1995","R","12 Sep 1995","83 min","Comedy, Horror, Thriller","Michael McDonald","N/A","4.9","N/A","A Bucket of Blood (1995)"
"92",97,"Buddy Buddy","1981","R","11 Dec 1981","96 min","Comedy","Billy Wilder","2 nominations.","6.6","N/A","Buddy Buddy (1981)"
"93",98,"The Buccaneer","1958","APPROVED","01 Dec 1958","119 min","Adventure, Drama, History","Anthony Quinn","N/A","6.6","N/A","The Buccaneer (1958)"
"94",99,"Bundle of Joy","1956","APPROVED","12 Dec 1956","98 min","Comedy, Musical","Norman Taurog","N/A","6.1","N/A","Bundle of Joy (1956)"
"95",100,"The Burmese Harp","1985","N/A","20 Jul 1985","133 min","Drama, War","Kon Ichikawa","2 wins & 7 nominations.","6.6","N/A","The Burmese Harp (1985)"
"96",101,"Cabin Fever","2016","R","13 May 2016","99 min","Horror","Travis Zariwny","1 nomination.","3.7","N/A","Cabin Fever (2016)"
"97",102,"The Cabinet of Dr. Caligari","2005","NOT RATED","01 Jan 2006","76 min","Drama, Horror, Mystery","David Lee Fisher","4 wins.","5.8","N/A","The Cabinet of Dr. Caligari (2005)"
"98",103,"Cape Fear","1991","R","15 Nov 1991","128 min","Crime, Thriller","Martin Scorsese","Nominated for 2 Oscars. Another 4 wins & 15 nominations.","7.3","N/A","Cape Fear (1991)"
"99",104,"The Captain","1971","N/A","28 Oct 1971","93 min","Comedy","Kurt Hoffmann","1 win.","5.1","N/A","The Captain (1971)"
"100",105,"Carnival of Souls","1998","R","21 Aug 1998","90 min","Drama, Horror, Mystery","Adam Grossman","N/A","3.2","N/A","Carnival of Souls (1998)"
"101",106,"Carrie","2002","TV-14","04 Nov 2002","132 min","Drama, Horror, Sci-Fi","David Carson","2 nominations.","5.5","N/A","Carrie (2002)"
"102",107,"Carrie","2013","R","18 Oct 2013","100 min","Drama, Horror","Kimberly Peirce","5 wins & 7 nominations.","5.9","$28,440,607","Carrie (2013)"
"103",108,"The Cat Creeps","1930","N/A","10 Nov 1930","75 min","Horror, Mystery","Rupert Julian, John Willard","N/A","6.7","N/A","The Cat Creeps (1930)"
"104",109,"The Cat and the Canary","1939","N/A","10 Nov 1939","72 min","Comedy, Horror, Mystery","Elliott Nugent","N/A","7.3","N/A","The Cat and the Canary (1939)"
"105",110,"Cat People","1982","R","02 Apr 1982","118 min","Fantasy, Horror, Thriller","Paul Schrader","Nominated for 2 Golden Globes. Another 1 nomination.","6.1","N/A","Cat People (1982)"
"106",111,"Catch That Kid","2004","PG","06 Feb 2004","91 min","Adventure, Comedy, Crime","Bart Freundlich","1 nomination.","5.2","$16,532,227","Catch That Kid (2004)"
"107",112,"Carousel","1956","APPROVED","16 Feb 1956","128 min","Drama, Fantasy, Musical","Henry King","3 nominations.","6.9","N/A","Carousel (1956)"
"108",113,"The Champ","1979","PG","04 Apr 1979","121 min","Drama, Sport","Franco Zeffirelli","Nominated for 1 Oscar. Another 2 wins & 6 nominations.","6.8","N/A","The Champ (1979)"
"109",114,"Cheaper by the Dozen","2003","PG","25 Dec 2003","98 min","Comedy, Family","Shawn Levy","2 wins & 7 nominations.","5.8","$138,507,634","Cheaper by the Dozen (2003)"
"110",115,"Chickens Come Home-","1931","PASSED","21 Feb 1931","30 min","Short, Comedy","James W. Horne","N/A","7.5","N/A","Chickens Come Home- (1931)"
"111",116,"The Children's Hour","1961","NOT RATED","19 Dec 1961","108 min","Drama, Romance","William Wyler","Nominated for 5 Oscars. Another 1 win & 6 nominations.","7.8","N/A","The Children's Hour (1961)"
"112",117,"A Christmas Carol","1999","PG","05 Dec 1999","95 min","Drama, Fantasy","David Hugh Jones","Nominated for 1 Primetime Emmy. Another 4 nominations.","7.4","N/A","A Christmas Carol (1999)"
"113",118,"A Christmas Carol","1984","PG","17 Dec 1984","100 min","Drama, Family, Fantasy","Clive Donner","N/A","7.9","N/A","A Christmas Carol (1984)"
"114",120,"A Christmas Carol","1938","NOT RATED","16 Dec 1938","69 min","Drama, Family, Fantasy","Edwin L. Marin","N/A","7.5","N/A","A Christmas Carol (1938)"
"115",121,"A Christmas Carol","2009","PG","06 Nov 2009","96 min","Animation, Drama, Family","Robert Zemeckis","3 wins & 5 nominations.","6.8","$137,816,456","A Christmas Carol (2009)"
"116",122,"Chloe","2009","R","26 Mar 2010","96 min","Drama, Mystery, Romance","Atom Egoyan","3 wins & 5 nominations.","6.3","$31,000,000","Chloe (2009)"
"117",123,"Cinderella","2015","PG","13 Mar 2015","105 min","Drama, Family, Fantasy","Kenneth Branagh","Nominated for 1 Oscar. Another 8 wins & 35 nominations.","7.0","$183,327,144","Cinderella (2015)"
"118",124,"City of Angels","1998","PG-13","10 Apr 1998","114 min","Drama, Fantasy, Romance","Brad Silberling","Nominated for 1 Golden Globe. Another 10 wins & 12 nominations.","6.7","N/A","City of Angels (1998)"
"119",125,"Clash of the Titans","2010","PG-13","02 Apr 2010","106 min","Action, Adventure, Fantasy","Louis Leterrier","4 wins & 12 nominations.","5.8","$163,100,000","Clash of the Titans (2010)"
"120",126,"Classmates","2007","N/A","20 Apr 2007","156 min","Drama, Mystery, Romance","Vijay K. Bhaskar, Vijay K. Bhaskar","N/A","5.2","N/A","Classmates (2007)"
"121",127,"Cloak & Dagger","1984","PG","10 Aug 1984","101 min","Action, Adventure, Crime","Richard Franklin","3 nominations.","6.5","N/A","Cloak & Dagger (1984)"
"122",128,"Colorado Territory","1949","APPROVED","11 Jun 1949","94 min","Western","Raoul Walsh","N/A","7.2","N/A","Colorado Territory (1949)"
"123",129,"The Computer Wore Tennis Shoes","1995","N/A","18 Feb 1995","87 min","Comedy, Family, Sci-Fi","Peyton Reed","N/A","5.1","N/A","The Computer Wore Tennis Shoes (1995)"
"124",130,"Confession","1937","APPROVED","28 Aug 1937","87 min","Crime, Drama, Romance","Joe May","N/A","8.0","N/A","Confession (1937)"
"125",131,"The Counter Jumper","1922","N/A","09 Dec 1922","20 min","Comedy, Short","Larry Semon","N/A","5.9","N/A","The Counter Jumper (1922)"
"126",132,"Cousins","1989","PG-13","10 Feb 1989","109 min","Comedy, Romance","Joel Schumacher","N/A","6.3","N/A","Cousins (1989)"
"127",133,"Crackers","1984","PG","17 Feb 1984","91 min","Adventure, Comedy, Crime","Louis Malle","1 nomination.","5.1","N/A","Crackers (1984)"
"128",134,"The Crazies","2010","R","26 Feb 2010","101 min","Horror, Thriller","Breck Eisner","11 nominations.","6.5","$38,240,768","The Crazies (2010)"
"129",135,"Crime School","1938","NOT RATED","28 May 1938","85 min","Crime, Drama","Lewis Seiler, William Clemens","N/A","6.8","N/A","Crime School (1938)"
"130",136,"Criminal","2004","R","24 Sep 2004","87 min","Comedy, Crime, Drama","Gregory Jacobs","N/A","6.4","$740,056","Criminal (2004)"
"131",137,"D.O.A.","1988","R","18 Mar 1988","96 min","Mystery, Thriller","Annabel Jankel, Rocky Morton","N/A","6.1","N/A","D.O.A. (1988)"
"132",138,"Dante's Inferno","1935","APPROVED","23 Aug 1935","89 min","Drama","Harry Lachman","1 nomination.","6.7","N/A","Dante's Inferno (1935)"
"133",141,"Dark Victory","1976","N/A","05 Feb 1976","150 min","Drama, Romance","Robert Butler","N/A","6.8","N/A","Dark Victory (1976)"
"134",142,"Dark Water","2005","PG-13","08 Jul 2005","105 min","Drama, Horror, Thriller","Walter Salles","5 nominations.","5.6","$25,416,400","Dark Water (2005)"
"135",143,"Dawn of the Dead","2004","R","19 Mar 2004","101 min","Action, Horror, Thriller","Zack Snyder","1 win & 17 nominations.","7.3","$58,885,635","Dawn of the Dead (2004)"
"136",144,"The Dawn Patrol","1938","NOT RATED","24 Dec 1938","103 min","War, Drama","Edmund Goulding","N/A","7.6","N/A","The Dawn Patrol (1938)"
"137",145,"Day of the Dead","2008","R","08 Apr 2008","86 min","Action, Horror, Thriller","Steve Miner","1 nomination.","4.5","N/A","Day of the Dead (2008)"
"138",146,"The Day the Earth Stood Still","2008","PG-13","12 Dec 2008","104 min","Drama, Sci-Fi, Thriller","Scott Derrickson","3 wins & 5 nominations.","5.5","$79,136,963","The Day the Earth Stood Still (2008)"
"139",147,"Dead of Winter","1987","R","06 Feb 1987","100 min","Drama, Horror, Thriller","Arthur Penn","N/A","6.3","N/A","Dead of Winter (1987)"
"140",148,"Death at a Funeral","2010","R","16 Apr 2010","92 min","Comedy","Neil LaBute","6 nominations.","5.7","$16,000,000","Death at a Funeral (2010)"
"141",149,"Death Race","2008","R","22 Aug 2008","105 min","Action, Sci-Fi, Thriller","Paul W.S. Anderson","1 win & 5 nominations.","6.4","$36,064,910","Death Race (2008)"
"142",151,"Obama's Kickstarter Campaign to Solve the Debt","2011","N/A","15 Aug 2011","3 min","Short, Comedy","Jack Allison, Matty Smith","N/A","N/A","N/A","Obama's Kickstarter Campaign to Solve the Debt (2011)"
"143",152,"The Defiant Ones","1986","NOT RATED","05 Jan 1986","100 min","Drama","David Lowell Rich","N/A","6.1","N/A","The Defiant Ones (1986)"
"144",153,"The Departed","2006","R","06 Oct 2006","151 min","Crime, Drama, Thriller","Martin Scorsese","Won 4 Oscars. Another 92 wins & 134 nominations.","8.5","$132,300,000","The Departed (2006)"
"145",154,"Desire","1936","APPROVED","28 Feb 1936","95 min","Comedy, Romance, Crime","Frank Borzage","N/A","7.3","N/A","Desire (1936)"
"146",155,"Desperate Hours","1990","R","05 Oct 1990","105 min","Action, Crime, Drama","Michael Cimino","1 nomination.","5.4","N/A","Desperate Hours (1990)"
"147",156,"Destry Rides Again","1939","APPROVED","29 Dec 1939","94 min","Comedy, Western","George Marshall","1 win.","7.7","N/A","Destry Rides Again (1939)"
"148",157,"Destry","1954","APPROVED","01 Dec 1954","95 min","Western","George Marshall","N/A","6.6","N/A","Destry (1954)"
"149",158,"Diabolique","1996","R","22 Mar 1996","107 min","Drama, Horror, Thriller","Jeremiah S. Chechik","2 wins & 1 nomination.","5.3","N/A","Diabolique (1996)"
"150",159,"Diamond Horseshoe","1945","N/A","01 May 1945","104 min","Musical","George Seaton","N/A","6.9","N/A","Diamond Horseshoe (1945)"
"151",161,"Dirty Rotten Scoundrels","1988","PG","14 Dec 1988","110 min","Comedy, Crime","Frank Oz","Nominated for 1 Golden Globe. Another 1 win.","7.3","N/A","Dirty Rotten Scoundrels (1988)"
"152",162,"Dr. Jekyll and Mr. Hyde","1941","PASSED","01 Sep 1941","113 min","Horror, Sci-Fi","Victor Fleming","N/A","6.9","N/A","Dr. Jekyll and Mr. Hyde (1941)"
"153",165,"Billa","1980","N/A","N/A","N/A","Action, Crime, Thriller","R. Krishnamurthy","N/A","7.4","N/A","Billa (1980)"
"154",166,"Sobharaj","1986","N/A","N/A","N/A","N/A","Sasikumar","N/A","6.4","N/A","Sobharaj (1986)"
"155",167,"Billa","2007","N/A","14 Dec 2007","130 min","Action, Romance, Thriller","Vishnuvardhan","3 nominations.","7.3","N/A","Billa (2007)"
"156",168,"Billa","2009","N/A","03 Apr 2009","149 min","Action, Romance, Thriller","Meher Ramesh","N/A","6.1","N/A","Billa (2009)"
"157",169,"A Dog of Flanders","1999","PG","27 Aug 1999","100 min","Family, Drama","Kevin Brodie","1 win & 1 nomination.","6.3","N/A","A Dog of Flanders (1999)"
"158",170,"Dorian Gray","2009","R","09 Sep 2009","112 min","Drama, Fantasy, Thriller","Oliver Parker","1 nomination.","6.3","N/A","Dorian Gray (2009)"
"159",171,"Down to Earth","2001","PG-13","26 Jul 2001","87 min","Comedy, Fantasy","Chris Weitz, Paul Weitz","3 nominations.","5.4","$63,095,559","Down to Earth (2001)"
"160",172,"Down and Out in Beverly Hills","1986","R","31 Jan 1986","103 min","Comedy","Paul Mazursky","Nominated for 2 Golden Globes. Another 1 win & 3 nominations.","6.1","N/A","Down and Out in Beverly Hills (1986)"
"161",173,"Heaven Can Wait","1978","PG","28 Jun 1978","101 min","Comedy, Fantasy, Romance","Warren Beatty, Buck Henry","Won 1 Oscar. Another 8 wins & 13 nominations.","6.9","N/A","Heaven Can Wait (1978)"
"162",174,"Down to Earth","2001","PG-13","26 Jul 2001","87 min","Comedy, Fantasy","Chris Weitz, Paul Weitz","3 nominations.","5.4","$63,095,559","Down to Earth (2001)"
